,From-To,Heart rate,Average heart rate(/min)
0,0 s - 4 s,21,22.857142857142858
1,4 s - 9 s,33,22.857142857142858
2,9 s - 14 s,17,22.857142857142858
3,14 s - 19 s,17,22.857142857142858
4,19 s - 23 s,15,22.857142857142858
5,23 s - 28 s,20,22.857142857142858
6,28 s - 33 s,33,22.857142857142858
7,33 s - 38 s,17,22.857142857142858
8,38 s - 42 s,26,22.857142857142858
9,42 s - 47 s,22,22.857142857142858
10,47 s - 52 s,21,22.857142857142858
11,52 s - 57 s,36,22.857142857142858
12,57 s - 61 s,17,22.857142857142858
13,61 s - 66 s,25,22.857142857142858
